Area,Mean,Median,Period Start Date,Period End Date,Property Type
Lewisham,1122.0,1100.0,2020/04/01,2021/03/31,One Bedroom
Lewisham,1362.0,1350.0,2020/04/01,2021/03/31,Two Bedrooms
Lewisham,1715.0,1650.0,2020/04/01,2021/03/31,Three Bedrooms
Lewisham,2232.0,2250.0,2020/04/01,2021/03/31,Four or more Bedrooms
Lewisham,1313.0,1250.0,2020/04/01,2021/03/31,All categories
Lewisham,692.0,650.0,2021/04/01,2022/03/31,Room
Lewisham,878.0,860.0,2021/04/01,2022/03/31,Studio
Lewisham,1156.0,1125.0,2021/04/01,2022/03/31,One Bedroom
Lewisham,1397.0,1350.0,2021/04/01,2022/03/31,Two Bedrooms
Lewisham,1676.0,1600.0,2021/04/01,2022/03/31,Three Bedrooms
Lewisham,2349.0,2200.0,2021/04/01,2022/03/31,Four or more Bedrooms
Lewisham,1359.0,1300.0,2021/04/01,2022/03/31,All categories
Lewisham,588.0,575.0,2018/10/01,2019/09/30,Room
Lewisham,883.0,875.0,2018/10/01,2019/09/30,Studio
Lewisham,1101.0,1100.0,2018/10/01,2019/09/30,One Bedroom
Lewisham,1330.0,1300.0,2018/10/01,2019/09/30,Two Bedrooms
Lewisham,1660.0,1600.0,2018/10/01,2019/09/30,Three Bedrooms
Lewisham,2368.0,2375.0,2018/10/01,2019/09/30,Four or more Bedrooms
Lewisham,1324.0,1250.0,2018/10/01,2019/09/30,All categories
Lewisham,683.0,700.0,2019/10/01,2020/09/30,Room
Lewisham,894.0,850.0,2019/10/01,2020/09/30,Studio
Lewisham,1163.0,1150.0,2019/10/01,2020/09/30,One Bedroom
Lewisham,1372.0,1350.0,2019/10/01,2020/09/30,Two Bedrooms
Lewisham,1665.0,1613.0,2019/10/01,2020/09/30,Three Bedrooms
Lewisham,2292.0,2200.0,2019/10/01,2020/09/30,Four or more Bedrooms
Lewisham,1322.0,1300.0,2019/10/01,2020/09/30,All categories
Lewisham,692.0,673.0,2020/10/01,2021/09/30,Room
Lewisham,896.0,898.0,2020/10/01,2021/09/30,Studio
Lewisham,1148.0,1100.0,2020/10/01,2021/09/30,One Bedroom
Lewisham,1390.0,1350.0,2020/10/01,2021/09/30,Two Bedrooms
Lewisham,1702.0,1650.0,2020/10/01,2021/09/30,Three Bedrooms
Lewisham,2325.0,2200.0,2020/10/01,2021/09/30,Four or more Bedrooms
Lewisham,1350.0,1300.0,2020/10/01,2021/09/30,All categories
Newham,614.0,600.0,2019/04/01,2020/03/31,Room
Newham,982.0,900.0,2019/04/01,2020/03/31,Studio
Newham,1189.0,1150.0,2019/04/01,2020/03/31,One Bedroom
Newham,1493.0,1425.0,2019/04/01,2020/03/31,Two Bedrooms
Newham,1708.0,1650.0,2019/04/01,2020/03/31,Three Bedrooms
Newham,2036.0,1950.0,2019/04/01,2020/03/31,Four or more Bedrooms
Newham,1453.0,1400.0,2019/04/01,2020/03/31,All categories
Newham,692.0,725.0,2020/04/01,2021/03/31,Room
Newham,1190.0,1200.0,2020/04/01,2021/03/31,Studio
Newham,1320.0,1350.0,2020/04/01,2021/03/31,One Bedroom
Newham,1596.0,1600.0,2020/04/01,2021/03/31,Two Bedrooms
Newham,1861.0,1800.0,2020/04/01,2021/03/31,Three Bedrooms
Newham,2000.0,1950.0,2020/04/01,2021/03/31,Four or more Bedrooms
Newham,1536.0,1500.0,2020/04/01,2021/03/31,All categories
Newham,653.0,690.0,2021/04/01,2022/03/31,Room
Newham,1143.0,1206.0,2021/04/01,2022/03/31,Studio
Newham,1307.0,1325.0,2021/04/01,2022/03/31,One Bedroom
Newham,1589.0,1590.0,2021/04/01,2022/03/31,Two Bedrooms
Newham,1824.0,1750.0,2021/04/01,2022/03/31,Three Bedrooms
Newham,2069.0,2000.0,2021/04/01,2022/03/31,Four or more Bedrooms
Newham,1514.0,1474.0,2021/04/01,2022/03/31,All categories
Newham,620.0,600.0,2018/10/01,2019/09/30,Room
Newham,991.0,1000.0,2018/10/01,2019/09/30,Studio
Newham,1179.0,1150.0,2018/10/01,2019/09/30,One Bedroom
Newham,1458.0,1400.0,2018/10/01,2019/09/30,Two Bedrooms
Newham,1702.0,1658.0,2018/10/01,2019/09/30,Three Bedrooms
Newham,2010.0,1946.0,2018/10/01,2019/09/30,Four or more Bedrooms
Newham,1424.0,1400.0,2018/10/01,2019/09/30,All categories
Newham,634.0,607.0,2019/10/01,2020/09/30,Room
Newham,1124.0,1161.0,2019/10/01,2020/09/30,Studio
Newham,1222.0,1200.0,2019/10/01,2020/09/30,One Bedroom
Newham,1513.0,1450.0,2019/10/01,2020/09/30,Two Bedrooms
Newham,1754.0,1700.0,2019/10/01,2020/09/30,Three Bedrooms
Newham,2077.0,2000.0,2019/10/01,2020/09/30,Four or more Bedrooms
Newham,1476.0,1430.0,2019/10/01,2020/09/30,All categories
Newham,665.0,675.0,2020/10/01,2021/09/30,Room
Newham,1143.0,1208.0,2020/10/01,2021/09/30,Studio
Newham,1295.0,1325.0,2020/10/01,2021/09/30,One Bedroom
Newham,1580.0,1583.0,2020/10/01,2021/09/30,Two Bedrooms
Newham,1813.0,1750.0,2020/10/01,2021/09/30,Three Bedrooms
Newham,2008.0,1920.0,2020/10/01,2021/09/30,Four or more Bedrooms
Newham,1510.0,1474.0,2020/10/01,2021/09/30,All categories
